organismName	taxId	checkmSpeciesTaxId	accession	completeness	gcPercent	superkingdom	phylum	class	order	family	genus	species
Candidatus Jettenia ecosi	2494326		GCA_005524015.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2494326 [species] Candidatus Jettenia ecosi
Candidatus Brocadiia bacterium	2517210		GCA_007127285.1		65.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_007131925.1		60.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadia sp. WS118	2040625		GCA_007618135.1		43.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2040625 [species] Candidatus Brocadia sp. WS118
Candidatus Kuenenia stuttgartiensis	174633		GCA_007618145.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Brocadia sp. BL1	2040626		GCA_007618155.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2040626 [species] Candidatus Brocadia sp. BL1
Candidatus Brocadiaceae bacterium S225	2528033		GCA_007859995.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2528033 [species] Candidatus Brocadiaceae bacterium S225
Candidatus Brocadiaceae bacterium B188	2528032		GCA_007860005.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2528032 [species] Candidatus Brocadiaceae bacterium B188
Candidatus Brocadia sp. AMX2	2293635		GCA_008363395.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2293635 [species] Candidatus Brocadia sp. AMX2
Candidatus Jettenia sp. AMX1	2293637		GCA_008363445.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2293637 [species] Candidatus Jettenia sp. AMX1
Candidatus Scalindua sp.	2268189		GCA_008501815.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sediminis	2798304		GCA_008636105.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2798304 [species] Candidatus Scalindua sediminis
Candidatus Brocadia sp.	2172549		GCA_008933285.1		44.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Scalindua sp.	2268189		GCA_011050115.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Kuenenia stuttgartiensis	174633	174633	GCA_011066545.1	94.83	41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia sp.	2499824	2499824	GCA_011525635.1	88.28	40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Brocadia sp.	2172549		GCA_011525665.1		44.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_011526495.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_012728835.1		70.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Scalindua sp.	2268189		GCA_013139855.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiia bacterium	2517210		GCA_013359215.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_013360825.1		69.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Jettenia caeni	247490		GCA_013360885.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	247490 [species] Candidatus Jettenia caeni
Candidatus Brocadia sp.	2172549		GCA_013360945.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sinica	795830		GCA_013360995.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	795830 [species] Candidatus Brocadia sinica
Candidatus Brocadia sp.	2172549		GCA_014338225.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Jettenia sp.	2170669		GCA_014338295.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2170669 [species] Candidatus Jettenia sp.
Candidatus Brocadiales bacterium	2760054		GCA_014384865.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Kuenenia stuttgartiensis	174633		GCA_014584675.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Brocadiaceae bacterium	2094028		GCA_015661205.1		46.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadia sp.	2172549		GCA_016699285.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp. AMX1	2164146		GCA_016743735.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2164146 [species] Candidatus Brocadia sp. AMX1
Candidatus Brocadiia bacterium	2517210		GCA_016782825.1		67.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_016844385.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadia sinica	795830		GCA_016860665.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	795830 [species] Candidatus Brocadia sinica
Candidatus Jettenia caeni	247490		GCA_016861385.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	247490 [species] Candidatus Jettenia caeni
Candidatus Brocadia pituitae	2608983		GCA_017347445.1		43.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2608983 [species] Candidatus Brocadia pituitae
Candidatus Scalindua sediminis	2798304		GCA_017368835.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2798304 [species] Candidatus Scalindua sediminis
Candidatus Scalindua arabica	1127984		GCA_018263435.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	1127984 [species] Candidatus Scalindua arabica
Candidatus Scalindua sp.	2268189		GCA_018648405.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_018655105.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_018662645.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_018669395.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_018670825.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_018675875.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_018697755.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_018700855.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadia fulgida	380242		GCA_019186885.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	380242 [species] Candidatus Brocadia fulgida
Candidatus Kuenenia stuttgartiensis	174633		GCA_019454545.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Brocadia sapporoensis	392547		GCA_019455295.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	392547 [species] Candidatus Brocadia sapporoensis
Candidatus Scalindua rubra	1872076		GCA_019911885.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	1872076 [species] Candidatus Scalindua rubra
Candidatus Kuenenia stuttgartiensis	174633		GCA_019912215.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Brocadiia bacterium	2517210		GCA_020051675.1		47.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_020053535.1		52.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_020056505.1		48.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_020056785.1		49.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_020062035.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_020063115.1		57.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Bathyanammoxibius sp.	2983804		GCA_020555905.1		52.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2983801 [family] Candidatus Bathyanammoxibiaceae	2983802 [genus] Candidatus Bathyanammoxibius	2983804 [species] Candidatus Bathyanammoxibius sp.
Candidatus Kuenenia stuttgartiensis	174633		GCA_020723505.1		61.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Anammoxoglobus sp.	2883556		GCA_020724075.1		59.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	363278 [genus] Candidatus Anammoxoglobus	2883556 [species] Candidatus Anammoxoglobus sp.
Candidatus Brocadia sp.	2172549		GCA_020846915.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_020851875.1		43.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
