genome_name,contig_size,p_gene_nr,p_gene_length_sum,n_gene_nr,n_gene_length_sum,p_U_overlap_nr,p_U_overlap_length_sum,n_U_overlap_nr,n_U_overlap_length_sum,p_gap_length_sum,n_gap_length_sum,C_overlap_nr,D_overlap_nr,C_lengt_sum,D_lengt_sum
GCA_000786775.1,3167,7,1619,1,206,2,-3,0,0,1446,0,0,0,0,0
GCA_000786775.1,14473,0,0,14,12628,0,0,5,-62,0,1839,0,0,0,0
GCA_000786775.1,11867,15,8489,0,0,3,-22,0,0,2507,0,0,0,0,0
GCA_000786775.1,1402,1,1399,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,23313,4,5234,14,13714,0,0,3,-50,8541,8901,0,0,0,0
GCA_000786775.1,18817,8,6025,8,10150,3,-100,3,-22,7268,3307,0,0,0,0
GCA_000786775.1,20137,1,1757,18,16284,0,0,2,-19,0,3558,0,0,0,0
GCA_000786775.1,10198,2,2620,7,5924,0,0,0,0,3353,2907,0,0,0,0
GCA_000786775.1,2619,1,141,3,1866,0,0,0,0,0,520,0,0,0,0
GCA_000786775.1,67151,26,25760,39,29593,1,0,3,-13,36492,36246,0,0,0,0
GCA_000786775.1,3230,0,0,4,2765,0,0,0,0,0,56,0,0,0,0
GCA_000786775.1,19245,5,3634,13,11912,1,-30,1,-3,13243,5690,0,0,0,0
GCA_000786775.1,10688,3,630,8,8152,1,-7,3,-12,30,502,0,0,0,0
GCA_000786775.1,50757,12,11016,33,33131,1,-7,4,-89,34897,17277,0,0,0,0
GCA_000786775.1,2034,5,1099,0,0,0,0,0,0,906,0,0,0,0,0
GCA_000786775.1,11509,8,5239,5,3814,3,-58,0,0,6134,2385,0,0,0,0
GCA_000786775.1,2832,2,1520,1,930,0,0,0,0,8,0,0,0,0,0
GCA_000786775.1,44241,20,15224,28,20296,1,-12,4,-66,18055,23670,0,0,0,0
GCA_000786775.1,3250,3,2991,0,0,1,-3,0,0,157,0,0,0,0,0
GCA_000786775.1,9361,9,8353,0,0,3,-58,0,0,534,0,0,0,0,0
GCA_000786775.1,13020,1,134,13,9237,0,0,1,-7,0,3462,0,0,0,0
GCA_000786775.1,5739,7,4199,1,207,1,-37,0,0,879,0,0,0,0,0
GCA_000786775.1,63698,33,22142,30,27929,4,-37,2,-22,27811,34596,0,0,0,0
GCA_000786775.1,4374,1,416,4,3350,0,0,0,0,0,1023,0,0,0,0
GCA_000786775.1,2065,2,1581,0,0,1,-36,0,0,-36,0,0,0,0,0
GCA_000786775.1,4764,5,2275,1,842,1,-7,0,0,1062,0,0,0,0,0
GCA_000786775.1,887,1,845,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1077,0,0,2,730,0,0,0,0,0,175,0,0,0,0
GCA_000786775.1,31582,18,16760,17,10423,1,-3,1,-7,14819,7001,0,0,0,0
GCA_000786775.1,12735,12,10584,1,905,2,-19,0,0,877,0,0,0,0,0
GCA_000786775.1,2028,1,1409,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1725,0,0,2,1214,0,0,0,0,0,241,0,0,0,0
GCA_000786775.1,57029,30,25451,27,21240,6,-70,6,-46,30961,32069,0,0,0,0
GCA_000786775.1,2619,3,2344,0,0,0,0,0,0,56,0,0,0,0,0
GCA_000786775.1,71492,7,3894,61,55097,2,-6,13,-60,62338,15689,0,0,0,0
GCA_000786775.1,33252,3,1323,41,26172,0,0,4,-41,11494,7079,0,0,0,0
GCA_000786775.1,771,0,0,2,435,0,0,0,0,0,164,0,0,0,0
GCA_000786775.1,21370,15,14974,4,4316,1,-13,0,0,6294,2577,0,0,0,0
GCA_000786775.1,2130,0,0,4,1328,0,0,1,-22,0,761,0,0,0,0
GCA_000786775.1,8928,2,1813,11,4891,0,0,1,0,180,3825,0,0,0,0
GCA_000786775.1,1620,1,1085,1,212,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1746,2,1606,0,0,1,-28,0,0,-28,0,0,0,0,0
GCA_000786775.1,15558,15,9956,2,1978,1,-55,0,0,5520,421,0,0,0,0
GCA_000786775.1,74111,37,36827,26,24524,2,-19,1,-3,32441,49479,0,0,0,0
GCA_000786775.1,3481,2,3022,0,0,0,0,0,0,248,0,0,0,0,0
GCA_000786775.1,13143,3,2100,6,9462,1,0,1,-12,17,599,0,0,0,0
GCA_000786775.1,2143,0,0,1,2072,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,77290,52,53118,18,15531,8,-99,2,-64,24092,37682,0,0,0,0
GCA_000786775.1,28648,16,13681,14,10147,1,-3,3,-3,14818,4977,0,0,0,0
GCA_000786775.1,3922,4,2162,1,170,0,0,0,0,1113,0,0,0,0,0
GCA_000786775.1,3621,4,2893,0,0,0,0,0,0,328,0,0,0,0,0
GCA_000786775.1,6069,9,5244,1,119,3,-122,0,0,186,0,0,0,0,0
GCA_000786775.1,1497,2,1013,0,0,0,0,0,0,104,0,0,0,0,0
GCA_000786775.1,1924,1,341,1,1409,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,6105,1,224,8,4348,0,0,1,-55,0,887,0,0,0,0
GCA_000786775.1,1645,3,1256,0,0,0,0,0,0,318,0,0,0,0,0
GCA_000786775.1,9109,5,5311,4,1442,1,-13,1,-3,1491,7158,0,0,0,0
GCA_000786775.1,24020,21,15000,5,6044,2,-6,2,-43,2199,185,0,0,0,0
GCA_000786775.1,19591,13,11788,6,5106,1,-3,0,0,7389,6288,0,0,0,0
GCA_000786775.1,11988,7,6414,3,3981,1,-3,0,0,4641,6764,0,0,0,0
GCA_000786775.1,1255,2,1042,0,0,0,0,0,0,27,0,0,0,0,0
GCA_000786775.1,129757,48,38961,91,70517,2,-6,13,-131,30708,58838,0,0,0,0
GCA_000786775.1,1575,1,822,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,12877,4,3650,10,6011,0,0,1,0,360,1867,0,0,0,0
GCA_000786775.1,1246,2,602,0,0,0,0,0,0,509,0,0,0,0,0
GCA_000786775.1,57025,13,16808,33,32439,0,0,6,-25,30071,24345,0,0,0,0
GCA_000786775.1,2597,0,0,4,1878,0,0,0,0,0,160,0,0,0,0
GCA_000786775.1,4024,1,221,4,2978,0,0,1,-16,0,420,0,0,0,0
GCA_000786775.1,15834,0,0,16,14437,0,0,2,-13,0,1150,0,0,0,0
GCA_000786775.1,21988,16,13904,8,5510,4,-69,2,-68,2931,16285,0,0,0,0
GCA_000786775.1,3239,0,0,4,2677,0,0,0,0,0,561,0,0,0,0
GCA_000786775.1,9337,5,1669,8,6664,1,-10,2,-49,6217,2020,0,0,0,0
GCA_000786775.1,7285,1,1520,6,3139,0,0,0,0,0,3776,0,0,0,0
GCA_000786775.1,8947,8,7725,0,0,2,-24,0,0,1219,0,0,0,0,0
GCA_000786775.1,2697,0,0,2,2044,0,0,0,0,0,186,0,0,0,0
GCA_000786775.1,1810,0,0,1,1559,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,2080,3,1403,0,0,0,0,0,0,340,0,0,0,0,0
GCA_000786775.1,3905,3,2811,0,0,0,0,0,0,422,0,0,0,0,0
GCA_000786775.1,35012,23,24745,3,5693,4,-29,0,0,4447,8000,0,0,0,0
GCA_000786775.1,2500,4,1670,0,0,1,-3,0,0,667,0,0,0,0,0
GCA_000786775.1,6983,3,3645,3,1264,1,-3,0,0,2518,4746,0,0,0,0
GCA_000786775.1,3324,3,1926,1,292,0,0,0,0,760,0,0,0,0,0
GCA_000786775.1,23040,1,1271,18,19619,0,0,3,-61,0,3385,0,0,0,0
GCA_000786775.1,2155,1,143,4,991,0,0,1,-3,0,668,0,0,0,0
GCA_000786775.1,12155,5,9132,3,1122,0,0,1,-19,3020,385,0,0,0,0
GCA_000786775.1,4704,3,1890,2,2182,1,-7,0,0,131,58,0,0,0,0
GCA_000786775.1,3267,3,2085,0,0,0,0,0,0,439,0,0,0,0,0
GCA_000786775.1,1438,3,1182,0,0,1,-6,0,0,79,0,0,0,0,0
GCA_000786775.1,1315,0,0,1,418,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1219,1,103,2,652,0,0,0,0,0,21,0,0,0,0
GCA_000786775.1,1998,0,0,4,1497,0,0,1,-3,0,500,0,0,0,0
GCA_000786775.1,24259,6,5868,11,15268,0,0,0,0,6523,3587,0,0,0,0
GCA_000786775.1,3719,3,2511,0,0,0,0,0,0,455,0,0,0,0,0
GCA_000786775.1,10298,2,1951,5,6934,0,0,0,0,54,3268,0,0,0,0
GCA_000786775.1,21329,10,6470,11,11311,1,-3,1,-22,12102,9517,0,0,0,0
GCA_000786775.1,1323,0,0,3,1274,0,0,0,0,0,48,0,0,0,0
GCA_000786775.1,30163,23,18760,8,6761,3,-19,1,-3,10078,21267,0,0,0,0
GCA_000786775.1,24100,10,6164,21,12701,2,-13,3,-82,12325,11281,0,0,0,0
GCA_000786775.1,1366,1,1104,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,3226,5,1858,2,439,2,-6,1,0,454,0,0,0,0,0
GCA_000786775.1,2701,3,1782,1,416,0,0,0,0,175,0,0,0,0,0
GCA_000786775.1,8989,7,7208,2,620,2,-10,0,0,584,8238,0,0,0,0
GCA_000786775.1,10489,13,8909,0,0,3,-23,0,0,541,0,0,0,0,0
GCA_000786775.1,1657,1,1172,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,4088,2,373,5,2287,1,-13,0,0,-13,632,0,0,0,0
GCA_000786775.1,3581,4,2205,1,299,1,-10,0,0,448,0,0,0,0,0
GCA_000786775.1,989,0,0,1,988,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,938,0,0,1,229,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,17732,6,7746,8,6838,1,-12,0,0,5994,10401,0,0,0,0
GCA_000786775.1,6669,1,917,6,4977,0,0,0,0,0,408,0,0,0,0
GCA_000786775.1,39352,28,22340,12,10179,3,-25,2,-51,15514,24853,0,0,0,0
GCA_000786775.1,101733,71,54868,33,32067,10,-121,3,-13,41937,51852,0,0,0,0
GCA_000786775.1,2707,1,2706,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1803,0,0,4,854,0,0,0,0,0,948,0,0,0,0
GCA_000786775.1,1143,0,0,1,962,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,8645,10,6847,1,332,1,-3,0,0,1679,0,0,0,0,0
GCA_000786775.1,4885,0,0,4,3685,0,0,0,0,0,602,0,0,0,0
GCA_000786775.1,2082,0,0,4,1185,0,0,2,-10,0,5,0,0,0,0
GCA_000786775.1,3298,5,2696,0,0,0,0,0,0,601,0,0,0,0,0
GCA_000786775.1,44681,9,5445,33,34861,1,-3,8,-27,37559,9596,0,0,0,0
GCA_000786775.1,15434,11,9256,4,3404,1,-57,0,0,5103,4610,0,0,0,0
GCA_000786775.1,5050,2,1699,4,1853,0,0,1,-16,4,2899,0,0,0,0
GCA_000786775.1,9380,4,4412,4,3335,1,-3,0,0,1048,5926,0,0,0,0
GCA_000786775.1,39767,10,7898,22,26771,2,-13,3,-28,21965,11973,0,0,0,0
GCA_000786775.1,21194,15,12183,8,3521,3,-64,0,0,6973,17672,0,0,0,0
GCA_000786775.1,1078,1,899,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1659,1,952,1,590,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1652,2,323,0,0,1,-12,0,0,-12,0,0,0,0,0
GCA_000786775.1,66691,19,15704,49,37026,2,-3,11,-107,26999,29555,0,0,0,0
GCA_000786775.1,6446,2,5016,2,805,0,0,1,0,1393,0,0,0,0,0
GCA_000786775.1,53589,10,9149,36,36707,1,-7,4,-25,23772,16790,0,0,0,0
GCA_000786775.1,3137,4,1421,0,0,0,0,0,0,1384,0,0,0,0,0
GCA_000786775.1,1447,4,829,0,0,0,0,0,0,393,0,0,0,0,0
GCA_000786775.1,1652,0,0,1,1651,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,27786,20,14995,8,6620,2,-28,1,0,11803,19370,0,0,0,0
GCA_000786775.1,22453,4,3728,18,14224,0,0,1,-51,3629,8228,0,0,0,0
GCA_000786775.1,991,0,0,2,640,0,0,0,0,0,21,0,0,0,0
GCA_000786775.1,43697,21,20345,15,17865,4,-44,2,-79,23184,1821,0,0,0,0
GCA_000786775.1,6497,2,6025,0,0,1,-7,0,0,-7,0,0,0,0,0
GCA_000786775.1,23534,13,11186,10,8264,1,0,2,-43,11920,8801,0,0,0,0
GCA_000786775.1,7947,7,6860,0,0,1,-36,0,0,610,0,0,0,0,0
GCA_000786775.1,4534,3,3334,0,0,0,0,0,0,738,0,0,0,0,0
GCA_000786775.1,18004,12,13422,4,2159,4,-38,0,0,4223,907,0,0,0,0
GCA_000786775.1,1110,0,0,1,854,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,14445,0,0,12,12201,0,0,1,-3,0,1460,0,0,0,0
GCA_000786775.1,19735,4,4487,14,12992,1,-3,2,-20,10562,6513,0,0,0,0
GCA_000786775.1,2905,5,1422,1,404,0,0,0,0,1305,0,0,0,0,0
GCA_000786775.1,932,1,178,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,14059,10,4685,8,5920,0,0,1,-3,7614,2703,0,0,0,0
GCA_000786775.1,14961,13,10478,2,691,1,-28,0,0,3950,11604,0,0,0,0
GCA_000786775.1,866,0,0,1,212,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,2545,2,571,1,797,0,0,0,0,166,0,0,0,0,0
GCA_000786775.1,43599,10,11506,29,26752,2,0,10,-90,31735,2975,0,0,0,0
GCA_000786775.1,1172,1,448,1,581,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,16475,10,10783,6,3851,0,0,0,0,4527,9769,0,0,0,0
GCA_000786775.1,1643,1,1642,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,5646,3,5436,0,0,0,0,0,0,69,0,0,0,0,0
GCA_000786775.1,25392,27,18834,2,910,8,-59,0,0,6141,8078,0,0,0,0
GCA_000786775.1,10277,0,0,9,8222,0,0,1,-51,0,2054,0,0,0,0
GCA_000786775.1,30271,15,14154,14,11879,2,-22,0,0,13569,17229,0,0,0,0
GCA_000786775.1,24274,5,2761,15,18295,2,-18,2,-64,15678,5978,0,0,0,0
GCA_000786775.1,1182,0,0,1,1052,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,11345,7,4626,3,4479,0,0,0,0,6318,2234,0,0,0,0
GCA_000786775.1,14400,12,9759,3,1656,3,-44,0,0,4323,1120,0,0,0,0
GCA_000786775.1,49286,24,19637,21,21564,2,-12,0,0,19265,27242,0,0,0,0
GCA_000786775.1,10609,7,5525,3,2139,0,0,0,0,1433,241,0,0,0,0
GCA_000786775.1,806,0,0,1,550,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,7132,8,5371,1,314,3,-43,0,0,476,0,0,0,0,0
GCA_000786775.1,79663,16,16733,55,53171,0,0,4,-91,17082,24835,0,0,0,0
GCA_000786775.1,11498,1,827,7,8533,0,0,0,0,0,1394,0,0,0,0
GCA_000786775.1,28518,8,8521,16,15232,1,-7,0,0,15229,12123,0,0,0,0
GCA_000786775.1,16058,8,3158,10,8522,1,-3,1,-22,12666,3841,0,0,0,0
GCA_000786775.1,20671,7,3416,16,12638,2,-6,2,-13,9557,7126,0,0,0,0
GCA_000786775.1,2542,0,0,3,2142,0,0,0,0,0,170,0,0,0,0
GCA_000786775.1,5606,2,718,6,3423,0,0,0,0,959,1031,0,0,0,0
GCA_000786775.1,7558,2,1933,7,3332,0,0,1,-7,1302,3112,0,0,0,0
GCA_000786775.1,2967,3,2835,0,0,2,-3,0,0,-3,0,0,0,0,0
GCA_000786775.1,1617,3,909,0,0,1,-3,0,0,381,0,0,0,0,0
GCA_000786775.1,16388,5,4651,10,8702,1,-15,0,0,2476,7416,0,0,0,0
GCA_000786775.1,4416,2,1186,3,2262,0,0,0,0,2975,152,0,0,0,0
GCA_000786775.1,5879,5,4867,0,0,1,-3,0,0,483,0,0,0,0,0
GCA_000786775.1,1919,1,212,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,22091,3,2652,15,16542,0,0,2,-15,9448,5515,0,0,0,0
GCA_000786775.1,2203,4,1097,1,278,1,-21,0,0,465,0,0,0,0,0
GCA_000786775.1,703,2,738,0,0,1,-39,0,0,-39,0,0,0,0,0
GCA_000786775.1,3116,0,0,4,2841,0,0,1,-28,0,273,0,0,0,0
GCA_000786775.1,981,0,0,1,662,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,1350,2,526,2,557,1,-19,0,0,-19,792,0,0,0,0
GCA_000786775.1,83534,30,21384,52,45881,2,-13,7,-137,54863,31758,0,0,0,0
GCA_000786775.1,99396,48,46232,41,42340,9,-103,3,-6,53012,54582,0,0,0,0
GCA_000786775.1,44565,11,6499,36,30201,3,-31,4,-46,32389,8545,0,0,0,0
GCA_000786775.1,24186,11,10084,14,10849,3,-17,4,-74,4891,10102,0,0,0,0
GCA_000786775.1,2075,1,1769,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,9261,1,812,6,6972,0,0,0,0,0,479,0,0,0,0
GCA_000786775.1,1260,1,284,3,585,0,0,0,0,0,130,0,0,0,0
GCA_000786775.1,3887,1,116,7,2682,0,0,1,0,0,1204,0,0,0,0
GCA_000786775.1,35404,25,21038,9,7473,1,-25,2,-6,13907,24911,0,0,0,0
GCA_000786775.1,5858,1,2813,3,1335,0,0,0,0,0,346,0,0,0,0
GCA_000786775.1,2261,4,1719,0,0,1,-3,0,0,258,0,0,0,0,0
GCA_000786775.1,1134,0,0,1,1058,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,98205,29,28718,63,57696,0,0,6,-21,69472,38542,0,0,0,0
GCA_000786775.1,16133,15,13266,1,111,1,-7,0,0,2300,0,0,0,0,0
GCA_000786775.1,19345,18,16550,2,1150,2,-28,0,0,2794,404,0,0,0,0
GCA_000786775.1,13938,9,8483,4,3962,1,-46,1,-7,5371,6269,0,0,0,0
GCA_000786775.1,3013,6,1752,0,0,2,-10,0,0,546,0,0,0,0,0
GCA_000786775.1,27917,0,0,26,25111,0,0,8,-97,0,2306,0,0,0,0
GCA_000786775.1,1939,2,1452,0,0,1,-3,0,0,-3,0,0,0,0,0
GCA_000786775.1,15265,2,3163,10,9008,0,0,2,-56,3912,5936,0,0,0,0
GCA_000786775.1,5507,2,1678,4,2327,0,0,0,0,3086,1464,0,0,0,0
GCA_000786775.1,715,1,251,2,352,0,0,1,-52,0,-52,0,0,0,0
GCA_000786775.1,6283,0,0,5,4714,0,0,0,0,0,1012,0,0,0,0
GCA_000786775.1,23363,8,9427,12,9498,1,-15,0,0,11604,11799,0,0,0,0
GCA_000786775.1,1641,1,97,1,1268,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,4057,2,3809,0,0,0,0,0,0,247,0,0,0,0,0
GCA_000786775.1,6310,2,3517,3,2183,1,-43,0,0,-43,3939,0,0,0,0
GCA_000786775.1,2995,0,0,5,2279,0,0,0,0,0,662,0,0,0,0
GCA_000786775.1,7562,1,338,4,5930,0,0,0,0,0,1366,0,0,0,0
GCA_000786775.1,18760,1,1352,32,15712,0,0,7,-47,0,1375,0,0,0,0
GCA_000786775.1,36833,15,16506,18,13839,2,-20,1,0,15072,21665,0,0,0,0
GCA_000786775.1,25115,13,12850,11,6754,1,-37,0,0,12264,11173,0,0,0,0
GCA_000786775.1,1320,0,0,1,1319,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,3463,7,3002,0,0,1,-16,0,0,326,0,0,0,0,0
GCA_000786775.1,12611,1,566,10,8765,0,0,1,-12,0,2992,0,0,0,0
GCA_000786775.1,3707,0,0,5,2562,0,0,3,-79,0,-45,0,0,0,0
GCA_000786775.1,8174,1,3122,2,4615,0,0,1,-7,0,-7,0,0,0,0
GCA_000786775.1,23990,18,11860,15,6651,3,-55,5,-139,5731,8245,0,0,0,0
GCA_000786775.1,20048,0,0,19,18803,0,0,6,-180,0,906,0,0,0,0
GCA_000786775.1,14723,6,4013,11,6685,0,0,4,-76,10423,4190,0,0,0,0
GCA_000786775.1,8132,2,1444,5,4819,0,0,0,0,4120,2636,0,0,0,0
GCA_000786775.1,2007,2,1771,0,0,1,-19,0,0,-19,0,0,0,0,0
GCA_000786775.1,34842,14,14278,14,14500,2,-49,2,-17,7892,16148,0,0,0,0
GCA_000786775.1,34710,16,9736,22,14835,2,-6,1,-3,23586,16730,0,0,0,0
GCA_000786775.1,20375,1,860,18,15810,0,0,5,-55,0,3881,0,0,0,0
GCA_000786775.1,2731,2,2182,1,171,0,0,0,0,151,0,0,0,0,0
GCA_000786775.1,17382,4,5060,11,10066,0,0,1,-7,8874,2738,0,0,0,0
GCA_000786775.1,7009,0,0,7,5522,0,0,0,0,0,1395,0,0,0,0
GCA_000786775.1,3320,0,0,5,3274,0,0,2,-10,0,45,0,0,0,0
GCA_000786775.1,1377,0,0,1,1175,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,7074,0,0,5,5509,0,0,1,-49,0,942,0,0,0,0
GCA_000786775.1,63251,23,23213,43,30400,4,-113,13,-275,28764,25458,0,0,0,0
GCA_000786775.1,46607,28,22871,20,16356,5,-26,4,-26,10339,30052,0,0,0,0
GCA_000786775.1,35450,20,10518,19,16460,2,-53,1,-3,24694,11042,0,0,0,0
GCA_000786775.1,968,1,964,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,33214,11,10291,18,19119,0,0,3,-44,16764,13966,0,0,0,0
GCA_000786775.1,6982,8,5593,1,155,2,-13,0,0,847,0,0,0,0,0
GCA_000786775.1,4867,5,3595,1,567,2,-28,0,0,131,0,0,0,0,0
GCA_000786775.1,5352,0,0,3,5105,0,0,0,0,0,200,0,0,0,0
GCA_000786775.1,11881,7,7619,4,2417,0,0,0,0,4009,2329,0,0,0,0
GCA_000786775.1,771,1,156,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,21942,10,9323,13,9931,0,0,0,0,11771,3371,0,0,0,0
GCA_000786775.1,5462,3,1844,3,1827,0,0,0,0,2937,83,0,0,0,0
GCA_000786775.1,710,0,0,1,362,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,2261,2,724,1,572,0,0,0,0,743,0,0,0,0,0
GCA_000786775.1,3146,1,230,3,2381,0,0,0,0,0,411,0,0,0,0
GCA_000786775.1,1040,0,0,2,487,0,0,0,0,0,203,0,0,0,0
GCA_000786775.1,5409,0,0,5,4312,0,0,0,0,0,916,0,0,0,0
GCA_000786775.1,942,0,0,1,797,0,0,0,0,0,0,0,0,0,0
GCA_000786775.1,5863,4,2933,3,2190,1,-3,0,0,1047,3176,0,0,0,0
GCA_000949635.1,16266,6,3045,9,8997,0,0,1,-3,12446,1584,0,1,0,30
GCA_000949635.1,26156,17,10055,17,12307,5,-104,2,-10,16100,10854,0,0,0,0
GCA_000949635.1,4034580,2090,1811278,1823,1613470,240,-3223,224,-2287,2222122,2420348,0,0,0,0
GCA_000987375.1,5316,1,506,3,4064,0,0,0,0,0,412,0,0,0,0
GCA_000987375.1,3915,1,2618,1,92,0,0,0,0,0,0,0,0,0,0
GCA_000987375.1,8737,4,4334,3,2153,1,-16,0,0,2390,2923,0,0,0,0
GCA_000987375.1,2603,2,736,2,1339,0,0,1,-3,135,-3,0,0,0,0
GCA_000987375.1,4906,3,3657,0,0,0,0,0,0,214,0,0,0,0,0
GCA_000987375.1,15746,1,1643,18,11832,0,0,0,0,0,1768,0,0,0,0
GCA_000987375.1,32084,4,4204,21,24321,0,0,3,-101,27006,6422,0,0,0,0
GCA_000987375.1,24428,11,12811,7,7637,4,-61,0,0,1605,1676,0,0,0,0
GCA_000987375.1,5391,5,1614,2,3001,1,-58,0,0,3559,60,0,0,0,0
GCA_000987375.1,7317,0,0,5,6178,0,0,1,-3,0,745,0,0,0,0
GCA_000987375.1,2213,3,632,2,811,1,-3,0,0,69,12,0,0,0,0
GCA_000987375.1,1154,1,1135,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000987375.1,1430,2,1246,0,0,1,-15,0,0,-15,0,0,0,0,0
GCA_000987375.1,1626,1,1370,0,0,0,0,0,0,0,0,0,0,0,0
GCA_000987375.1,18805,10,7469,9,8022,0,0,0,0,5861,8878,0,1,0,3
GCA_000987375.1,23739,12,13623,9,5682,0,0,0,0,7196,16276,0,0,0,0
GCA_000987375.1,21725,10,6503,14,11611,0,0,3,-50,12094,8215,0,0,0,0
GCA_000987375.1,9430,1,203,12,8154,0,0,5,-59,0,792,0,0,0,0
GCA_000987375.1,6006,0,0,3,5337,0,0,1,-40,0,246,0,0,0,0
GCA_000987375.1,5039,0,0,3,3843,0,0,0,0,0,283,0,0,0,0
GCA_000987375.1,3267,0,0,4,2678,0,0,0,0,0,124,0,0,0,0
GCA_000987375.1,2044,1,374,2,1104,0,0,1,-3,0,-3,0,0,0,0
GCA_000987375.1,2851,1,2789,0,0,0,0,0,0,0,0,0,0,0,0
